cell_type	cell_number	Relative_frequency	sample_id	timepoint	Patient	Response
Monocyte	183	0.0386810399492708	SCAF3567	3	7248	Responders
Naive CD4	554	0.11709997886282	SCAF3567	3	7248	Responders
Naive CD8	661	0.139716761783978	SCAF3567	3	7248	Responders
Neutrophil	571	0.120693299513845	SCAF3567	3	7248	Responders
NK cell	174	0.0367786937222574	SCAF3567	3	7248	Responders
S100a9 CD4	2	0.000422743606002959	SCAF3567	3	7248	Responders
S100a9 CD8	8	0.00169097442401184	SCAF3567	3	7248	Responders
Th1	79	0.0166983724371169	SCAF3567	3	7248	Responders
Treg	37	0.00782075671105474	SCAF3567	3	7248	Responders
B cell	2008	0.36291342851979	SCAF3568	1	7251	Responders
Basophil	8	0.00144587023314658	SCAF3568	1	7251	Responders
CD4 T	166	0.0300018073377914	SCAF3568	1	7251	Responders
Cd74 CD4	9	0.0016266040122899	SCAF3568	1	7251	Responders
CD8 T	121	0.0218687872763419	SCAF3568	1	7251	Responders
Dendritic cell	25	0.00451834447858305	SCAF3568	1	7251	Responders
Effector memory CD8	26	0.00469907825772637	SCAF3568	1	7251	Responders
Erythroblast	8	0.00144587023314658	SCAF3568	1	7251	Responders
Monocyte	397	0.0717513103198988	SCAF3568	1	7251	Responders
Naive CD4	702	0.126875112958612	SCAF3568	1	7251	Responders
Naive CD8	527	0.0952467016085306	SCAF3568	1	7251	Responders
Neutrophil	1208	0.218326405205133	SCAF3568	1	7251	Responders
NK cell	194	0.0350623531538044	SCAF3568	1	7251	Responders
S100a9 CD4	7	0.00126513645400325	SCAF3568	1	7251	Responders
S100a9 CD8	10	0.00180733779143322	SCAF3568	1	7251	Responders
Th1	81	0.0146394361106091	SCAF3568	1	7251	Responders
Treg	36	0.00650641604915959	SCAF3568	1	7251	Responders
B cell	4530	0.614320585842148	SCAF3569	3	7246	Responders
Basophil	9	0.00122050447518308	SCAF3569	3	7246	Responders
CD4 T	138	0.0187144019528072	SCAF3569	3	7246	Responders
Cd74 CD4	23	0.00311906699213453	SCAF3569	3	7246	Responders
CD8 T	116	0.0157309465690263	SCAF3569	3	7246	Responders
Dendritic cell	23	0.00311906699213453	SCAF3569	3	7246	Responders
Effector memory CD8	74	0.010035259018172	SCAF3569	3	7246	Responders
Erythroblast	37	0.00501762950908598	SCAF3569	3	7246	Responders
Monocyte	213	0.0288852725793328	SCAF3569	3	7246	Responders
Naive CD4	662	0.0897748847301329	SCAF3569	3	7246	Responders
Naive CD8	677	0.091809058855438	SCAF3569	3	7246	Responders
Neutrophil	433	0.0587198264171413	SCAF3569	3	7246	Responders
NK cell	268	0.0363439110387849	SCAF3569	3	7246	Responders
S100a9 CD4	3	0.000406834825061025	SCAF3569	3	7246	Responders
S100a9 CD8	5	0.000678058041768375	SCAF3569	3	7246	Responders
Th1	118	0.0160021697857337	SCAF3569	3	7246	Responders
Treg	45	0.00610252237591538	SCAF3569	3	7246	Responders
B cell	4174	0.488244239092291	SCAF3570	2	7246	Responders
Basophil	10	0.00116972745350333	SCAF3570	2	7246	Responders
CD4 T	247	0.0288922681015323	SCAF3570	2	7246	Responders
Cd74 CD4	28	0.00327523686980933	SCAF3570	2	7246	Responders
CD8 T	243	0.028424377120131	SCAF3570	2	7246	Responders
Dendritic cell	29	0.00339220961515967	SCAF3570	2	7246	Responders
Effector memory CD8	78	0.009123874137326	SCAF3570	2	7246	Responders
Erythroblast	682	0.0797754123289274	SCAF3570	2	7246	Responders
Hbb-bs CD8	10	0.00116972745350333	SCAF3570	2	7246	Responders
Monocyte	315	0.036846414785355	SCAF3570	2	7246	Responders
Naive CD4	725	0.0848052403789917	SCAF3570	2	7246	Responders
Naive CD8	614	0.0718212656451047	SCAF3570	2	7246	Responders
Neutrophil	1092	0.127734237922564	SCAF3570	2	7246	Responders
NK cell	159	0.018598666510703	SCAF3570	2	7246	Responders
S100a9 CD4	9	0.001052754708153	SCAF3570	2	7246	Responders
S100a9 CD8	11	0.00128670019885367	SCAF3570	2	7246	Responders
Th1	81	0.009474792373377	SCAF3570	2	7246	Responders
Treg	42	0.004912855304714	SCAF3570	2	7246	Responders
